Date,Open,High,Low,Close,Adj Close,Volume
2021-05-04,1205000.000000,1205000.000000,1205000.000000,1205000.000000,1205000.000000,56
2021-05-05,1200000.000000,1200000.000000,1200000.000000,1200000.000000,1200000.000000,89
2021-05-06,1261000.000000,1261000.000000,1261000.000000,1261000.000000,1261000.000000,120
2021-05-07,1261000.000000,1261000.000000,1261000.000000,1261000.000000,1261000.000000,4188
2021-05-10,1300000.000000,1300000.000000,1300000.000000,1300000.000000,1300000.000000,2454
2021-05-11,1250000.000000,1250000.000000,1250000.000000,1250000.000000,1250000.000000,81
2021-05-12,1250000.000000,1250000.000000,1250000.000000,1250000.000000,1250000.000000,226
2021-05-13,1250000.000000,1250000.000000,1250000.000000,1250000.000000,1250000.000000,2425
2021-05-14,1250000.000000,1250000.000000,1250000.000000,1250000.000000,1250000.000000,127
2021-05-17,1200000.000000,1200000.000000,1200000.000000,1200000.000000,1200000.000000,2247
2021-05-18,1200010.000000,1200010.000000,1200010.000000,1200010.000000,1200010.000000,2362
2021-05-19,1200000.000000,1200000.000000,1200000.000000,1200000.000000,1200000.000000,4830
2021-05-20,1200000.000000,1200000.000000,1200000.000000,1200000.000000,1200000.000000,4080
2021-05-21,1200000.000000,1200000.000000,1200000.000000,1200000.000000,1200000.000000,1589
2021-05-25,1250000.000000,1250000.000000,1250000.000000,1250000.000000,1250000.000000,3014
2021-05-26,1253000.000000,1253000.000000,1253000.000000,1253000.000000,1253000.000000,2443
2021-05-27,1250000.000000,1250000.000000,1250000.000000,1250000.000000,1250000.000000,133
2021-05-28,1295000.000000,1295000.000000,1295000.000000,1295000.000000,1295000.000000,23
2021-05-31,1300000.000000,1300000.000000,1300000.000000,1300000.000000,1300000.000000,10
2021-06-01,1230000.000000,1230000.000000,1230000.000000,1230000.000000,1230000.000000,165
2021-06-02,1150000.000000,1150000.000000,1150000.000000,1150000.000000,1150000.000000,6726
2021-06-03,1100000.000000,1100000.000000,1100000.000000,1100000.000000,1100000.000000,1555
2021-06-04,1099000.000000,1099000.000000,1099000.000000,1099000.000000,1099000.000000,5291
2021-06-07,1250000.000000,1250000.000000,1250000.000000,1250000.000000,1250000.000000,3
2021-06-08,1245000.000000,1245000.000000,1245000.000000,1245000.000000,1245000.000000,5350
2021-06-09,1200000.000000,1200000.000000,1200000.000000,1200000.000000,1200000.000000,2614
2021-06-10,1200000.000000,1200000.000000,1200000.000000,1200000.000000,1200000.000000,92
2021-06-11,1150000.000000,1150000.000000,1150000.000000,1150000.000000,1150000.000000,25
2021-06-15,1100000.000000,1100000.000000,1100000.000000,1100000.000000,1100000.000000,635
2021-06-16,1100000.000000,1100000.000000,1100000.000000,1100000.000000,1100000.000000,1905
2021-06-17,1090000.000000,1090000.000000,1090000.000000,1090000.000000,1090000.000000,2106
2021-06-18,1090000.000000,1090000.000000,1090000.000000,1090000.000000,1090000.000000,1887
2021-06-21,1089980.000000,1089980.000000,1089980.000000,1089980.000000,1089980.000000,69
2021-06-22,1088990.000000,1088990.000000,1088990.000000,1088990.000000,1088990.000000,213
2021-06-23,1088990.000000,1088990.000000,1088990.000000,1088990.000000,1088990.000000,410
2021-06-25,1090000.000000,1090000.000000,1090000.000000,1090000.000000,1090000.000000,378
2021-06-29,1087000.000000,1087000.000000,1087000.000000,1087000.000000,1087000.000000,2158
2021-06-30,1090000.000000,1090000.000000,1090000.000000,1090000.000000,1090000.000000,1476
2021-07-01,1085990.000000,1085990.000000,1085990.000000,1085990.000000,1085990.000000,2688
2021-07-02,1195000.000000,1195000.000000,1195000.000000,1195000.000000,1195000.000000,3444
2021-07-06,1195000.000000,1195000.000000,1195000.000000,1195000.000000,1195000.000000,362
2021-07-07,1139000.000000,1139000.000000,1139000.000000,1139000.000000,1139000.000000,142
2021-07-08,1138000.000000,1138000.000000,1138000.000000,1138000.000000,1138000.000000,66
2021-07-09,1100000.000000,1100000.000000,1100000.000000,1100000.000000,1100000.000000,163
2021-07-12,1099990.000000,1099990.000000,1099990.000000,1099990.000000,1099990.000000,14
2021-07-13,1098000.000000,1098000.000000,1098000.000000,1098000.000000,1098000.000000,6
2021-07-14,1099990.000000,1099990.000000,1099990.000000,1099990.000000,1099990.000000,260006
